home_name,away_name,home_goals,away_goals,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal
SL,COL,2,0,15,8,8,0
DYJ,SL,1,2,12,10,3,4
SL,SMSJ,1,2,23,11,7,8
EST,SL,0,2,11,12,1,3
SL,HUR,3,1,17,10,8,3
NCHI,SL,0,1,6,13,2,6
SL,LAN,4,0,13,10,5,2
CARP,SL,1,0,7,3,2,2
SL,IND,1,0,6,14,3,2
ALDO,SL,1,0,17,16,4,6
SL,VEL,1,0,16,12,3,6
NOB,SL,1,1,12,10,4,7
SL,SARM,3,0,10,15,7,4
QUI,SL,1,2,10,11,2,3
SL,BEL,0,0,14,12,6,4
USF,SL,1,1,20,9,7,3
SL,ARS,3,0,13,5,7,2
GCM,SL,1,1,15,9,3,4
SL,GLP,1,0,12,9,4,5
SL,CRU,2,1,23,14,8,3
ARGJ,SL,2,3,13,8,5,4
SL,BAN,0,0,11,10,3,3
CABJ,SL,0,1,16,4,3,2
HUR,SL,1,0,17,11,5,1
SL,RAC,2,1,8,21,4,6
TIG,SL,1,1,10,8,4,4
SL,ROS,2,2,15,18,4,6
OBB,SL,2,1,11,7,5,2
SL,TEMP,2,0,11,5,5,1
RAF,SL,0,1,17,7,7,1
