home_score,away_score,two_zero_halftime,home_team,away_team
2,0,home,GCM,QUI
0,3,away,LAN,RAF
0,2,away,QUI,COL
4,1,home,NOB,RAF
2,2,home,GLP,BEL
0,2,away,GCM,GLP
3,1,home,RAF,VEL
1,4,away,SL,LAN
3,0,home,OBB,ARGJ
1,3,away,VEL,QUI
4,1,home,VEL,ROS
3,2,home,ARS,NOB
3,0,home,EST,SL
2,0,home,VEL,COL
3,2,home,ROS,ARGJ
5,0,home,CARP,QUI
3,0,home,GCM,BAN
1,3,away,DYJ,RAC
2,1,home,OBB,TIG
4,0,home,TIG,RAC
0,4,away,GCM,CARP
3,0,home,CARP,DYJ
3,1,home,EST,CABJ
0,3,away,QUI,SL
4,1,home,CARP,IND
3,0,home,ARS,GCM
0,3,away,NOB,BAN
4,1,home,VEL,OBB
0,4,away,EST,RAC
2,2,home,RAF,BAN
1,2,away,DYJ,LAN
2,0,home,ROS,NOB
2,0,home,RAC,VEL
3,1,away,IND,TIG
2,2,away,NOB,GCM
2,0,home,CABJ,DYJ
2,1,home,QUI,VEL
4,0,home,SL,BEL
1,4,away,VEL,GCM
2,2,home,LAN,CABJ
0,3,away,GCM,OBB
1,6,away,RAF,ARS
4,0,home,BEL,IND
